t,gpu,pwr,gtemp,mtemp,sm,mem,enc,dec,jpg,ofa,mclk,pclk,pviol,tviol,fb,bar1,ccpm,sbecc,dbecc,pci,rxpci,txpci
17:26:07,0,220,44,-,100,78,0,0,0,0,13801,2850,0,0,10066,4,0,-,-,0,20,3
17:26:08,0,220,45,-,100,78,0,0,0,0,13801,2842,0,0,10066,4,0,-,-,0,14,3
17:26:09,0,220,44,-,100,79,0,0,0,0,13801,2842,0,0,10066,4,0,-,-,0,10,3
17:26:10,0,220,43,-,100,83,0,0,0,0,13801,2842,0,0,10066,4,0,-,-,0,6,2
17:26:11,0,220,44,-,100,91,0,0,0,0,13801,2842,0,0,10066,4,0,-,-,0,11,4
17:26:12,0,220,43,-,100,93,0,0,0,0,13801,2842,0,0,10066,4,0,-,-,0,5,3
17:26:14,0,220,44,-,100,89,0,0,0,0,13801,2842,0,0,10066,4,0,-,-,0,13,5
17:26:15,0,220,44,-,100,82,0,0,0,0,13801,2842,0,0,10066,4,0,-,-,0,15,3
17:26:16,0,221,45,-,100,78,0,0,0,0,13801,2842,0,0,10066,4,0,-,-,0,10,4
17:26:17,0,221,46,-,100,78,0,0,0,0,13801,2835,0,0,10066,4,0,-,-,0,7,4
17:26:18,0,221,45,-,100,81,0,0,0,0,13801,2835,0,0,10066,4,0,-,-,0,9,14
17:26:19,0,221,44,-,100,88,0,0,0,0,13801,2842,0,0,10066,4,0,-,-,0,6,3
17:26:20,0,221,45,-,100,93,0,0,0,0,13801,2842,0,0,10066,4,0,-,-,0,12,4
17:26:21,0,221,44,-,100,91,0,0,0,0,13801,2842,0,0,10066,4,0,-,-,0,30,3
17:26:22,0,221,46,-,100,86,0,0,0,0,13801,2842,0,0,10066,4,0,-,-,0,12,2
17:26:23,0,222,46,-,100,78,0,0,0,0,13801,2842,0,0,10066,4,0,-,-,0,9,2
17:26:24,0,180,42,-,49,43,0,0,0,0,13801,2865,0,0,12598,4,0,-,-,0,7,2
17:26:25,0,175,46,-,100,73,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,12,3
17:26:26,0,222,47,-,100,73,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,15,3
17:26:27,0,222,47,-,100,78,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,8,2
17:26:28,0,222,46,-,100,86,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,7,2
17:26:29,0,222,46,-,100,93,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,6,3
17:26:30,0,222,47,-,100,94,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,4,2
17:26:31,0,223,45,-,100,93,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,4,3
17:26:32,0,222,46,-,100,94,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,10,2
17:26:33,0,223,48,-,100,89,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,6,3
17:26:34,0,223,48,-,100,84,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,6,2
17:26:36,0,222,48,-,100,75,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,11,7
17:26:37,0,223,49,-,100,73,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,16,2
17:26:38,0,223,48,-,100,76,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,8,2
17:26:39,0,223,48,-,100,81,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,8,3
17:26:40,0,223,47,-,100,91,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,6,1
17:26:41,0,223,48,-,100,94,0,0,0,0,13801,2850,0,0,14782,4,0,-,-,0,4,2
17:26:42,0,223,48,-,100,94,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,3,2
17:26:43,0,223,47,-,100,92,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,10,5
17:26:44,0,223,49,-,100,92,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,4,2
17:26:45,0,224,48,-,100,86,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,6,2
17:26:46,0,223,49,-,100,79,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,9,3
17:26:47,0,224,49,-,100,73,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,16,2
17:26:48,0,224,50,-,100,73,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,8,2
17:26:49,0,224,50,-,100,79,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,8,5
17:26:50,0,224,48,-,100,88,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,6,2
17:26:51,0,224,48,-,100,93,0,0,0,0,13801,2842,0,0,14782,4,0,-,-,0,4,3
17:26:52,0,220,48,-,88,84,0,0,0,0,13801,2842,0,0,336,4,0,-,-,0,0,346
17:26:53,0,184,50,-,100,70,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,14,4
17:26:54,0,224,49,-,100,94,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,4,1
17:26:55,0,225,49,-,100,88,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,15,2
17:26:56,0,225,49,-,100,78,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,3,2
17:26:58,0,224,48,-,100,94,0,0,0,0,13801,2850,0,0,15324,4,0,-,-,0,9,2
17:26:59,0,224,51,-,100,78,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,6,4
17:27:00,0,225,49,-,100,88,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,7,2
17:27:01,0,224,50,-,100,94,0,0,0,0,13801,2850,0,0,15324,4,0,-,-,0,10,3
17:27:02,0,225,49,-,100,92,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,7,2
17:27:03,0,226,51,-,100,71,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,4,3
17:27:04,0,225,48,-,100,94,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,6,2
17:27:05,0,225,50,-,100,87,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,4,3
17:27:06,0,226,51,-,100,80,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,4,4
17:27:07,0,226,49,-,100,94,0,0,0,0,13801,2850,0,0,15324,4,0,-,-,0,6,2
17:27:08,0,225,51,-,100,76,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,4,2
17:27:09,0,226,50,-,100,90,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,11,3
17:27:10,0,225,49,-,100,94,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,4,1
17:27:11,0,226,51,-,100,70,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,15,4
17:27:12,0,226,52,-,100,73,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,3,6
17:27:13,0,226,50,-,100,94,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,12,2
17:27:14,0,226,50,-,100,84,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,4,2
17:27:15,0,226,50,-,100,82,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,7,3
17:27:16,0,225,50,-,100,94,0,0,0,0,13801,2850,0,0,15324,4,0,-,-,0,12,3
17:27:17,0,225,52,-,100,75,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,7,2
17:27:18,0,226,51,-,100,90,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,4,4
17:27:20,0,225,50,-,100,94,0,0,0,0,13801,2835,0,0,15324,4,0,-,-,0,6,2
17:27:21,0,227,53,-,100,70,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,4,4
17:27:22,0,225,51,-,100,94,0,0,0,0,13801,2835,0,0,15324,4,0,-,-,0,6,7
17:27:23,0,226,52,-,100,88,0,0,0,0,13801,2835,0,0,15324,4,0,-,-,0,6,2
17:27:24,0,226,51,-,100,84,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,4,2
17:27:25,0,227,52,-,100,83,0,0,0,0,13801,2842,0,0,15324,4,0,-,-,0,9,3
17:27:26,0,180,49,-,100,90,0,0,0,0,13801,2842,0,0,15670,4,0,-,-,0,9,2
17:27:27,0,227,50,-,100,94,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,4,2
17:27:28,0,227,54,-,100,73,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,6,2
17:27:29,0,226,51,-,100,94,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,9,2
17:27:30,0,227,52,-,100,89,0,0,0,0,13801,2842,0,0,15670,4,0,-,-,0,7,4
17:27:31,0,227,53,-,100,78,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,4,2
17:27:32,0,227,51,-,100,94,0,0,0,0,13801,2842,0,0,15670,4,0,-,-,0,4,4
17:27:33,0,228,53,-,100,82,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,6,3
17:27:34,0,226,52,-,100,94,0,0,0,0,13801,2842,0,0,15670,4,0,-,-,0,8,17
17:27:35,0,227,52,-,100,88,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,14,2
17:27:36,0,227,53,-,100,79,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,4,3
17:27:37,0,227,51,-,100,94,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,10,13
17:27:38,0,227,53,-,100,80,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,4,3
17:27:39,0,227,52,-,100,86,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,6,2
17:27:41,0,227,51,-,100,93,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,11,19
17:27:42,0,228,53,-,100,74,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,7,2
17:27:43,0,228,52,-,100,92,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,9,2
17:27:44,0,228,52,-,100,92,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,4,5
17:27:45,0,227,52,-,100,86,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,7,3
17:27:46,0,228,51,-,100,94,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,7,3
17:27:47,0,229,54,-,100,73,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,10,7
17:27:48,0,227,51,-,100,93,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,5,2
17:27:49,0,228,53,-,100,92,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,3,2
17:27:50,0,228,54,-,100,75,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,6,6
17:27:51,0,228,52,-,100,94,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,8,2
17:27:52,0,229,52,-,100,86,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,14,2
17:27:53,0,227,53,-,100,81,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,3,2
17:27:54,0,228,51,-,100,94,0,0,0,0,13801,2827,0,0,15670,4,0,-,-,0,4,3
17:27:55,0,228,54,-,100,76,0,0,0,0,13801,2835,0,0,15670,4,0,-,-,0,4,2
17:27:56,0,183,51,-,100,94,0,0,0,0,13801,2842,0,0,15580,4,0,-,-,0,8,2
17:27:57,0,227,53,-,100,70,0,0,0,0,13801,2835,0,0,15580,4,0,-,-,0,6,2
17:27:58,0,227,53,-,100,94,0,0,0,0,13801,2835,0,0,15580,4,0,-,-,0,4,3
17:27:59,0,227,55,-,100,71,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,7,2
17:28:00,0,226,51,-,100,93,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,4,4
17:28:01,0,226,55,-,100,73,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,3,2
17:28:03,0,227,52,-,100,93,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,10,4
17:28:04,0,227,55,-,100,75,0,0,0,0,13801,2835,0,0,15580,4,0,-,-,0,4,2
17:28:05,0,227,53,-,100,94,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,4,2
17:28:06,0,227,54,-,100,78,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,13,3
17:28:07,0,228,55,-,100,72,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,10,2
17:28:08,0,227,52,-,100,94,0,0,0,0,13801,2835,0,0,15580,4,0,-,-,0,6,2
17:28:09,0,227,55,-,100,69,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,8,3
17:28:10,0,227,52,-,100,94,0,0,0,0,13801,2835,0,0,15580,4,0,-,-,0,4,2
17:28:11,0,227,55,-,100,70,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,7,2
17:28:12,0,227,52,-,100,93,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,6,3
17:28:13,0,227,55,-,100,73,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,4,5
17:28:14,0,227,52,-,100,94,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,7,4
17:28:15,0,227,55,-,100,76,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,4,2
17:28:16,0,227,53,-,100,94,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,3,4
17:28:17,0,227,55,-,100,94,0,0,0,0,13801,2835,0,0,15580,4,0,-,-,0,10,2
17:28:18,0,227,55,-,100,71,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,5,3
17:28:19,0,227,54,-,100,94,0,0,0,0,13801,2835,0,0,15580,4,0,-,-,0,5,2
17:28:20,0,227,55,-,100,70,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,13,3
17:28:21,0,227,52,-,100,93,0,0,0,0,13801,2835,0,0,15580,4,0,-,-,0,9,2
17:28:22,0,227,55,-,100,71,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,5,2
17:28:23,0,227,53,-,100,93,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,12,4
17:28:25,0,227,56,-,100,74,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,5,2
17:28:26,0,227,53,-,100,94,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,7,2
17:28:27,0,227,55,-,100,77,0,0,0,0,13801,2827,0,0,15580,4,0,-,-,0,9,2
17:28:28,0,227,53,-,100,93,0,0,0,0,13801,2827,0,0,336,4,0,-,-,0,5969,6
17:28:29,0,213,54,-,100,94,0,0,0,0,13801,2835,0,0,15820,4,0,-,-,0,7,2
17:28:30,0,227,56,-,100,70,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,7,18
17:28:31,0,226,54,-,100,94,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,6,2
17:28:32,0,227,55,-,100,78,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,6,3
17:28:33,0,227,53,-,100,90,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,4,2
17:28:34,0,227,53,-,100,91,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,12,3
17:28:35,0,228,55,-,100,76,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,9,2
17:28:36,0,227,54,-,100,94,0,0,0,0,13801,2835,0,0,15820,4,0,-,-,0,8,3
17:28:37,0,228,56,-,100,72,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,4,3
17:28:38,0,227,54,-,100,94,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,4,1
17:28:39,0,227,54,-,100,84,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,11,4
17:28:40,0,228,56,-,100,73,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,3,3
17:28:41,0,227,53,-,100,94,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,7,3
17:28:42,0,227,54,-,100,87,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,3,2
17:28:43,0,229,56,-,100,84,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,5,3
17:28:44,0,227,55,-,100,94,0,0,0,0,13801,2835,0,0,15820,4,0,-,-,0,9,3
17:28:45,0,228,56,-,100,71,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,4,3
17:28:47,0,228,53,-,100,93,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,8,3
17:28:48,0,227,55,-,100,77,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,9,1
17:28:49,0,228,56,-,100,91,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,6,2
17:28:50,0,227,54,-,100,90,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,5,2
17:28:51,0,228,55,-,100,79,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,4,2
17:28:52,0,228,54,-,100,90,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,13,3
17:28:53,0,227,54,-,100,92,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,3,7
17:28:54,0,228,57,-,100,75,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,13,8
17:28:55,0,228,55,-,100,94,0,0,0,0,13801,2835,0,0,15820,4,0,-,-,0,5,3
17:28:56,0,228,57,-,100,71,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,6,2
17:28:57,0,227,55,-,100,94,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,7,2
17:28:58,0,227,55,-,100,86,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,3,5
17:28:59,0,228,56,-,100,86,0,0,0,0,13801,2827,0,0,15820,4,0,-,-,0,10,2
17:29:00,0,228,54,-,100,94,0,0,0,0,13801,2827,0,0,15342,4,0,-,-,0,5,4
17:29:01,0,188,55,-,100,81,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,6,2
17:29:02,0,227,54,-,100,94,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,14,2
17:29:03,0,227,55,-,100,83,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,11,1
17:29:04,0,228,54,-,100,89,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,6,2
17:29:05,0,227,54,-,100,90,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,6,3
17:29:06,0,228,56,-,100,83,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,5,1
17:29:07,0,227,54,-,100,93,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,8,2
17:29:09,0,228,56,-,100,74,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,4,3
17:29:10,0,228,55,-,100,93,0,0,0,0,13801,2835,0,0,15626,4,0,-,-,0,5,2
17:29:11,0,227,57,-,100,70,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,14,4
17:29:12,0,227,54,-,100,93,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,10,2
17:29:13,0,227,55,-,100,93,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,6,6
17:29:14,0,228,56,-,100,75,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,6,2
17:29:15,0,228,56,-,100,94,0,0,0,0,13801,2835,0,0,15626,4,0,-,-,0,4,19
17:29:16,0,228,56,-,100,70,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,7,3
17:29:17,0,228,54,-,100,94,0,0,0,0,13801,2835,0,0,15626,4,0,-,-,0,4,2
17:29:18,0,228,57,-,100,71,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,8,3
17:29:19,0,227,54,-,100,94,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,13,2
17:29:20,0,228,56,-,100,77,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,10,3
17:29:21,0,228,56,-,100,93,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,7,2
17:29:22,0,228,55,-,100,86,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,7,3
17:29:23,0,228,57,-,100,71,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,4,3
17:29:24,0,227,55,-,100,93,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,7,2
17:29:25,0,228,56,-,100,76,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,4,3
17:29:26,0,228,54,-,100,93,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,6,4
17:29:27,0,228,55,-,100,84,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,13,3
17:29:28,0,228,56,-,100,88,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,4,4
17:29:30,0,227,57,-,100,90,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,8,3
17:29:31,0,229,54,-,100,82,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,6,3
17:29:32,0,228,57,-,100,93,0,0,0,0,13801,2827,0,0,15626,4,0,-,-,0,3,4
17:29:33,0,200,48,-,4,4,0,0,0,0,13801,2842,0,0,15712,4,0,-,-,0,10,12
17:29:34,0,213,57,-,100,94,0,0,0,0,13801,2835,0,0,15712,4,0,-,-,0,5,2
17:29:35,0,227,57,-,100,87,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,4,2
17:29:36,0,228,54,-,100,85,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,13,5
17:29:37,0,227,58,-,100,94,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,4,3
17:29:38,0,228,55,-,100,73,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,7,4
17:29:39,0,228,57,-,100,94,0,0,0,0,13801,2835,0,0,15712,4,0,-,-,0,4,3
17:29:40,0,228,57,-,100,71,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,4,2
17:29:41,0,228,55,-,100,94,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,13,3
17:29:42,0,228,55,-,100,81,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,4,3
17:29:43,0,228,56,-,100,89,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,7,3
17:29:44,0,227,57,-,100,91,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,5,4
17:29:45,0,229,56,-,100,77,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,4,2
17:29:46,0,228,55,-,100,91,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,13,6
17:29:47,0,228,58,-,100,89,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,12,14
17:29:48,0,229,55,-,100,83,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,6,2
17:29:49,0,228,57,-,100,93,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,5,2
17:29:50,0,228,54,-,100,71,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,4,2
17:29:52,0,228,56,-,100,94,0,0,0,0,13801,2835,0,0,15712,4,0,-,-,0,11,5
17:29:53,0,228,57,-,100,73,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,9,2
17:29:54,0,228,55,-,100,94,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,7,3
17:29:55,0,228,58,-,100,83,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,8,3
17:29:56,0,228,56,-,100,70,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,4,1
17:29:57,0,228,56,-,100,94,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,8,2
17:29:58,0,229,57,-,100,78,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,3,2
17:29:59,0,229,55,-,100,91,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,6,2
17:30:00,0,228,56,-,100,90,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,9,4
17:30:01,0,229,56,-,100,81,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,3,1
17:30:02,0,228,58,-,100,94,0,0,0,0,13801,2835,0,0,15712,4,0,-,-,0,9,16
17:30:03,0,229,56,-,100,71,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,4,2
17:30:04,0,228,56,-,100,93,0,0,0,0,13801,2835,0,0,15712,4,0,-,-,0,5,4
17:30:05,0,190,54,-,100,71,0,0,0,0,13801,2850,0,0,15712,4,0,-,-,0,12,2
17:30:06,0,225,55,-,100,93,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,6,3
17:30:07,0,227,58,-,100,94,0,0,0,0,13801,2835,0,0,15712,4,0,-,-,0,7,3
17:30:08,0,228,56,-,100,70,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,4,2
17:30:09,0,228,55,-,100,93,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,4,2
17:30:10,0,228,56,-,100,76,0,0,0,0,13801,2827,0,0,15712,4,0,-,-,0,0,0
17:30:11,0,83,47,-,0,0,0,0,0,0,14001,2857,0,0,2,1,0,-,-,0,0,0
17:30:12,0,54,46,-,0,0,0,0,0,0,14001,2857,0,0,2,1,0,-,-,0,0,0
17:30:14,0,38,44,-,0,0,0,0,0,0,7001,652,0,0,2014,4,0,-,-,0,15,3
17:30:15,0,124,52,-,100,79,0,0,0,0,13801,2835,0,0,15672,4,0,-,-,0,6,2
17:30:16,0,226,57,-,100,94,0,0,0,0,13801,2835,0,0,15672,4,0,-,-,0,3,2
17:30:17,0,227,55,-,100,70,0,0,0,0,13801,2827,0,0,15672,4,0,-,-,0,14,6
17:30:18,0,227,55,-,100,92,0,0,0,0,13801,2827,0,0,15672,4,0,-,-,0,12,3
